LCSC Part Number,Description,Total Quantity,Ext. Price (USD)
C25104,330Ω resistor 0402,2,0.0014
C52923,1µF capacitor 0402,4,0.012
C39051,MCP1700T-3302 LDO,5,1.7895
C1562,33pF capacitor,4,0.0044
C11702,1kΩ resistor,4,0.0024
C25905,5.1kΩ resistor,4,0.0024
C9002,12 MHz crystal,2,0.136
C91447,IRM-H638T IR receiver,5,1.0965
C19702,10µF capacitor,4,0.024
C25076,100Ω resistor,2,0.0012
C2040,RP2040 MCU,2,1.913
C1525,0.1µF capacitor,22,0.0286
C2843335,W25Q16JV Flash,2,1.8284
C25744,10kΩ resistor,2,0.0012
C165948,USB-C Type-C-31-M-12,2,0.3538
C25100,270Ω resistor,20,0.012
LOCAL_SHOP,WS2812B-2020 RGB LED,1,0.15
LOCAL_SHOP,Connector 1x20,2,0.33
LOCAL_SHOP,Connector 1x03,1,0.1
